@AJ [MA/m^2]  vs r@
X,AJ_1,AJ_2,AJ_3,AJ_4,AJ_5,AJ_6,AJ_7,AJ_8,AJ_9,AJ_10,AJ_11,AJ_12,AJ_13,AJ_14,AJ_15,AJ_16,AJ_17,AJ_18,AJ_19,AJ_20,AJ_21,AJ_22,AJ_23,AJ_24,AJ_25,AJ_26,AJ_27,AJ_28,AJ_29,AJ_30,AJ_31,AJ_32,AJ_33,AJ_34,AJ_35,AJ_36,AJ_37,AJ_38,AJ_39,AJ_40,AJ_41,AJ_42,AJ_43,AJ_44,AJ_45,AJ_46,AJ_47,AJ_48,AJ_49,AJ_50,AJ_51,AJ_52,AJ_53,AJ_54,AJ_55,AJ_56,AJ_57,AJ_58,AJ_59,AJ_60,AJ_61,AJ_62,AJ_63,AJ_64,AJ_65,AJ_66,AJ_67,AJ_68,AJ_69,AJ_70,AJ_71,AJ_72,AJ_73,AJ_74,AJ_75,AJ_76,AJ_77,AJ_78,AJ_79,AJ_80,AJ_81,AJ_82,AJ_83,AJ_84,AJ_85,AJ_86,AJ_87,AJ_88,AJ_89,AJ_90,AJ_91,AJ_92,AJ_93,AJ_94,AJ_95,AJ_96,AJ_97,AJ_98,AJ_99,AJ_100,AJ_101,AJ_102,AJ_103
 0.4500000E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00, 0.3484375E+00,
 0.4700000E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00, 0.3314600E+00,
 0.4900000E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00, 0.3041492E+00,
 0.5100000E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00, 0.2882158E+00,
 0.5300000E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00, 0.2745494E+00,
 0.5500000E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00, 0.2624466E+00,
 0.5700000E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00, 0.2524963E+00,
 0.5900000E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00, 0.2431479E+00,
 0.6100000E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00, 0.2341668E+00,
 0.6300000E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00, 0.2250056E+00,
 0.6500000E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00, 0.2152720E+00,
 0.6700000E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00, 0.2058751E+00,
