@NT [10^20/m^3]  vs r@
X,NT_1,NT_2,NT_3,NT_4,NT_5,NT_6,NT_7,NT_8,NT_9,NT_10,NT_11,NT_12,NT_13,NT_14,NT_15,NT_16,NT_17,NT_18,NT_19,NT_20,NT_21,NT_22,NT_23,NT_24,NT_25,NT_26,NT_27,NT_28,NT_29,NT_30,NT_31,NT_32,NT_33,NT_34,NT_35,NT_36,NT_37,NT_38,NT_39,NT_40,NT_41,NT_42,NT_43,NT_44,NT_45,NT_46,NT_47,NT_48,NT_49,NT_50,NT_51,NT_52,NT_53,NT_54,NT_55,NT_56,NT_57,NT_58,NT_59,NT_60,NT_61,NT_62,NT_63,NT_64,NT_65,NT_66,NT_67,NT_68,NT_69,NT_70,NT_71,NT_72,NT_73,NT_74,NT_75,NT_76,NT_77,NT_78,NT_79,NT_80,NT_81,NT_82,NT_83,NT_84,NT_85,NT_86,NT_87,NT_88,NT_89,NT_90,NT_91,NT_92,NT_93,NT_94,NT_95,NT_96,NT_97,NT_98,NT_99,NT_100,NT_101,NT_102,NT_103
 0.4500000E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00, 0.3059897E+00,
 0.4700000E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00, 0.3050775E+00,
 0.4900000E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00, 0.3041058E+00,
 0.5100000E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00, 0.3030713E+00,
 0.5300000E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00, 0.3019699E+00,
 0.5500000E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00, 0.3007970E+00,
 0.5700000E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00, 0.2995476E+00,
 0.5900000E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00, 0.2982159E+00,
 0.6100000E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00, 0.2967951E+00,
 0.6300000E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00, 0.2952777E+00,
 0.6500000E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00, 0.2936547E+00,
 0.6700000E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00, 0.2919155E+00,
